id,label,modularity_class,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering
0,,11,577,256,833,577,256,833,7,0.335777,0.362346,15491745.313262,0.014676
1,,11,4,11,15,4,11,15,8,0.252292,0.262687,52127.178917,0.190909
379,,11,10,5,15,10,5,15,8,0.25968,0.271019,48394.650165,0.166667
41,,2,1646,384,2030,1646,384,2030,7,0.354032,0.384665,56497535.80538,0.008165
810,,16,165,0,165,165,0,165,0,0,0,0,0.031966
852,,11,6,6,12,6,6,12,8,0.258149,0.269241,8489.935196,0.088889
386,,6,2,3,5,2,3,5,8,0.25374,0.264384,7326.846274,0.083333
1430,,8,2,1,3,2,1,3,9,0.215791,0.221919,4232.709363,0
1264,,11,109,52,161,109,52,161,8,0.284626,0.299941,1093540.467603,0.018849
2232,,11,17,1,18,17,1,18,8,0.251375,0.261439,18899.04108,0.080882
11,,6,283,301,584,283,301,584,7,0.344338,0.373302,11860001.585438,0.018531
2880,,11,4,1,5,4,1,5,8,0.251375,0.261439,0,0.666667
747,,11,231,121,352,231,121,352,7,0.326444,0.348992,5935005.881231,0.035995
1001,,10,33,3,36,33,3,36,8,0.243746,0.252027,76899.484673,0.097619
809,,7,249,0,249,249,0,249,0,0,0,0,0.05561
59,,8,2161,363,2524,2161,363,2524,7,0.356384,0.386029,67315506.893755,0.006503
691,,11,75,57,132,75,57,132,8,0.296781,0.315474,1037288.404903,0.079605
3453,,16,36,43,79,36,43,79,8,0.283464,0.299486,398079.701758,0.047368
3498,,11,1,1,2,1,1,2,8,0.251375,0.261439,0,0
3682,,11,4,3,7,4,3,7,8,0.245073,0.255515,7404.256163,0.166667
2980,,11,2,1,3,2,1,3,8,0.251375,0.261439,0,1
1106,,8,152,23,175,152,23,175,8,0.278957,0.293013,895728.145146,0.053769
224,,11,584,226,810,584,226,810,7,0.323493,0.349323,15760079.78942,0.021806
28,,11,256,141,397,256,141,397,7,0.327403,0.351489,6135724.182606,0.033855
286,,13,24,18,42,24,18,42,8,0.267879,0.280066,281000.189785,0.065854
2279,,8,5,1,6,5,1,6,10,0.170239,0.173367,7441.289922,0
2108,,8,72,0,72,72,0,72,0,0,0,0,0.118349
90,,10,50,39,89,50,39,89,8,0.277273,0.291384,684338.698604,0.033467
122,,7,454,1350,1804,454,1350,1804,6,0.415512,0.46228,63225312.470753,0.011332
160,,8,392,0,392,392,0,392,0,0,0,0,0.031669
336,,10,56,1,57,56,1,57,10,0.181312,0.184843,308841.997932,0.080201
1461,,16,93,36,129,93,36,129,7,0.284115,0.299778,935324.818096,0.080112
6612,,11,2,0,2,2,0,2,0,0,0,0,1
325,,11,285,103,388,285,103,388,7,0.306343,0.327059,4241331.379063,0.027618
6822,,11,1,1,2,1,1,2,8,0.251375,0.261439,0,0
6474,,11,3,2,5,3,2,5,8,0.252143,0.262299,33.878177,0.5
3439,,7,29,0,29,29,0,29,0,0,0,0,0.080049
393,,11,42,13,55,42,13,55,8,0.285719,0.299861,138956.556492,0.167755
263,,11,230,101,331,230,101,331,7,0.302776,0.322763,4205511.394171,0.032727
1385,,10,101,38,139,101,38,139,8,0.285914,0.301362,968810.177826,0.050616
385,,16,30,36,66,30,36,66,8,0.292007,0.308636,800641.95954,0.071303
3046,,10,101,189,290,101,189,290,7,0.330536,0.355159,3741390.103815,0.060392
7891,,11,1,1,2,1,1,2,8,0.251375,0.261439,0,0
6417,,11,2,2,4,2,2,4,8,0.251671,0.261774,15.681877,0.666667
657,,7,99,171,270,99,171,270,7,0.340348,0.365417,4278419.524602,0.075962
765,,11,168,97,265,168,97,265,8,0.303689,0.323552,3006749.275716,0.042497
195,,0,198,77,275,198,77,275,7,0.312719,0.33246,3944191.0757,0.048263
55,,7,757,40,797,757,40,797,8,0.292248,0.308426,4568813.43635,0.01862
6416,,11,3,3,6,3,3,6,8,0.251392,0.261514,25796.686993,0.25
3,,0,293,110,403,293,110,403,7,0.296893,0.315278,6004690.2766,0.02415
205,,11,73,55,128,73,55,128,7,0.313229,0.332214,1509964.606249,0.057662
9101,,0,6,0,6,6,0,6,0,0,0,0,0.166667
3316,,1,129,14,143,129,14,143,8,0.273725,0.286288,524143.553246,0.066625
9411,,11,10,6,16,10,6,16,8,0.258407,0.269657,23639.028627,0.066667
683,,19,92,54,146,92,54,146,8,0.289399,0.306342,1525299.825954,0.051599
9514,,11,1,2,3,1,2,3,8,0.251873,0.262016,0,1
8836,,11,1,1,2,1,1,2,8,0.251375,0.261439,0,0
9818,,11,1,0,1,1,0,1,0,0,0,0,0
182,,11,99,69,168,99,69,168,8,0.310015,0.330514,1446106.71059,0.063228
10030,,11,1,0,1,1,0,1,0,0,0,0,0
166,,15,879,3,882,879,3,882,9,0.218247,0.224008,2487609.941393,0.017527
2931,,11,27,0,27,27,0,27,0,0,0,0,0.07265
362,,11,478,63,541,478,63,541,7,0.315528,0.334601,5445615.448042,0.027844
190,,7,661,6,667,661,6,667,8,0.264544,0.276416,1298521.24278,0.025095
3229,,11,10,20,30,10,20,30,8,0.275774,0.290147,49155.266202,0.173846
1243,,15,19,12,31,19,12,31,8,0.272497,0.285055,132227.082107,0.094017
5169,,11,2,1,3,2,1,3,8,0.23322,0.240588,1024.897049,0.5
2901,,6,9,5,14,9,5,14,8,0.228913,0.236616,167090.346478,0.081818
136,,8,9,8,17,9,8,17,8,0.265088,0.276546,61106.673565,0.142857
2284,,0,2,3,5,2,3,5,8,0.230926,0.239034,45680.020175,0.1
317,,13,190,117,307,190,117,307,7,0.308684,0.328341,6241859.718708,0.026731
15,,1,234,5,239,234,5,239,9,0.216982,0.223544,664956.132268,0.039765
6205,,11,70,49,119,70,49,119,8,0.292475,0.31092,1131136.509518,0.068081
700,,11,6,7,13,6,7,13,8,0.278549,0.293382,42166.213741,0.344444
882,,11,11,37,48,11,37,48,7,0.308527,0.326756,152978.984789,0.158537
973,,11,34,40,74,34,40,74,8,0.291903,0.30923,488887.867895,0.10113
4628,,11,22,18,40,22,18,40,8,0.259594,0.272016,192759.087066,0.113191
11926,,11,1,0,1,1,0,1,0,0,0,0,0
797,,15,101,73,174,101,73,174,7,0.290278,0.307794,2045229.278988,0.038255
6,,0,276,75,351,276,75,351,8,0.286331,0.303478,3049814.048385,0.042076
5694,,16,3,1,4,3,1,4,9,0.211369,0.217147,22795.171101,0
209,,16,155,83,238,155,83,238,7,0.305731,0.324789,3424513.87574,0.037034
992,,11,10,9,19,10,9,19,8,0.262069,0.273974,110254.357698,0.186813
7681,,11,8,53,61,8,53,61,7,0.31261,0.331852,119669.427871,0.154221
369,,11,241,312,553,241,312,553,7,0.329402,0.357609,8772365.411872,0.022921
12407,,11,21,11,32,21,11,32,8,0.258163,0.270293,35964.746981,0.166667
963,,11,32,27,59,32,27,59,8,0.296491,0.31304,355532.773944,0.155219
6542,,11,2,1,3,2,1,3,8,0.251375,0.261439,18826,0
440,,8,236,117,353,236,117,353,8,0.29901,0.319033,3842237.53898,0.03689
4040,,11,2,8,10,2,8,10,8,0.252126,0.263527,33827.987478,0.188889
4236,,12,13,7,20,13,7,20,8,0.250299,0.259409,143165.10503,0.075163
1655,,10,39,30,69,39,30,69,8,0.289204,0.305041,310205.548098,0.082496
13351,,11,1,0,1,1,0,1,0,0,0,0,0
34,,11,374,160,534,374,160,534,7,0.309801,0.333148,7743439.614745,0.027556
10126,,11,1,2,3,1,2,3,8,0.251379,0.261466,0,1
2736,,11,17,17,34,17,17,34,8,0.276029,0.290294,78625.733661,0.205665
857,,11,36,37,73,36,37,73,8,0.285654,0.301038,322777.831274,0.091587
157,,10,442,48,490,442,48,490,8,0.291293,0.308081,2816788.427036,0.035456
602,,11,51,22,73,51,22,73,8,0.278314,0.29237,524326.330407,0.069444
4785,,10,10,7,17,10,7,17,9,0.237468,0.246333,158562.27202,0.070833
3642,,11,1,2,3,1,2,3,8,0.251379,0.261466,0,1
14056,,11,1,0,1,1,0,1,0,0,0,0,0
10629,,10,16,8,24,16,8,24,8,0.275415,0.287547,133893.820381,0.064935
10840,,16,7,8,15,7,8,15,8,0.265166,0.276501,3852.667256,0.157143
1181,,3,215,58,273,215,58,273,8,0.303547,0.322083,1765008.285481,0.062513
4133,,11,10,8,18,10,8,18,8,0.262387,0.274995,2275.516517,0.384615
451,,16,296,140,436,296,140,436,8,0.306722,0.327535,7330189.463893,0.015966
4961,,11,1,2,3,1,2,3,8,0.251379,0.261466,0,1
156,,7,457,209,666,457,209,666,7,0.336029,0.362217,10387910.396817,0.034315
69,,12,211,78,289,211,78,289,7,0.310327,0.329033,6750647.885847,0.016891
1767,,11,1,2,3,1,2,3,8,0.252082,0.262234,26130.112172,0
14970,,11,1,2,3,1,2,3,8,0.267955,0.279933,0,1
14532,,5,2,5,7,2,5,7,8,0.256705,0.267444,3599.340119,0.033333
15429,,11,1,2,3,1,2,3,8,0.251379,0.261466,0,1
15723,,11,1,0,1,1,0,1,0,0,0,0,0
1896,,7,71,15,86,71,15,86,8,0.286423,0.299931,273574.600627,0.129231
15799,,11,1,0,1,1,0,1,0,0,0,0,0
16009,,11,2,0,2,2,0,2,0,0,0,0,1
861,,21,177,0,177,177,0,177,0,0,0,0,0.019453
3684,,11,49,39,88,49,39,88,8,0.274443,0.289196,168767.779094,0.1237
916,,11,152,99,251,152,99,251,7,0.30592,0.324757,2567960.54923,0.037423
42,,7,816,0,816,816,0,816,0,0,0,0,0.01882
15195,,7,4,0,4,4,0,4,0,0,0,0,0.333333
16632,,7,7,6,13,7,6,13,8,0.272367,0.285021,12319.568562,0.262821
74,,8,282,59,341,282,59,341,8,0.304214,0.322574,2497056.474787,0.048747
164,,10,288,93,381,288,93,381,7,0.313992,0.333718,5038983.169061,0.032856
3803,,11,2,1,3,2,1,3,8,0.251375,0.261439,0,1
4103,,11,6,4,10,6,4,10,8,0.252956,0.263183,36446.746927,0.111111
57,,16,717,426,1143,717,426,1143,7,0.346863,0.377665,21792424.157276,0.008856
15184,,11,3,7,10,3,7,10,8,0.25968,0.271522,383.390306,0.517857
142,,2,169,57,226,169,57,226,8,0.292747,0.310695,1642507.85977,0.049605
16815,,11,13,27,40,13,27,40,7,0.310763,0.328256,97609.453544,0.174925
1822,,5,33,44,77,33,44,77,7,0.310881,0.328924,447430.433658,0.132192
16918,,11,2,2,4,2,2,4,8,0.251385,0.261483,0,1
372,,11,151,106,257,151,106,257,8,0.301592,0.320993,1948309.779795,0.049449
18109,,11,1,0,1,1,0,1,0,0,0,0,0
6983,,11,1,1,2,1,1,2,8,0.251375,0.261439,0,0
315,,10,154,0,154,154,0,154,0,0,0,0,0.060267
535,,8,30,20,50,30,20,50,8,0.279874,0.294054,208481.407674,0.074468
18810,,11,1,0,1,1,0,1,0,0,0,0,0
1711,,16,20,17,37,20,17,37,7,0.273201,0.285888,304827.671853,0.047379
19199,,11,2,0,2,2,0,2,0,0,0,0,1
19333,,11,1,2,3,1,2,3,8,0.252143,0.262299,0,1
19402,,11,1,0,1,1,0,1,0,0,0,0,0
20088,,11,2,2,4,2,2,4,8,0.251604,0.261733,0,1
97,,7,581,10,591,581,10,591,8,0.261989,0.272942,1353442.6029,0.030144
18346,,11,6,5,11,6,5,11,8,0.252167,0.262414,51290.310103,0.375
11754,,7,1,2,3,1,2,3,8,0.25156,0.26169,6.896361,0
17173,,11,3,3,6,3,3,6,8,0.264002,0.27572,32107.650857,0.416667
1089,,7,42,31,73,42,31,73,8,0.293112,0.308618,309550.23402,0.093849
16861,,11,6,4,10,6,4,10,8,0.25216,0.262378,28132.075429,0.309524
10046,,11,4,7,11,4,7,11,8,0.251644,0.261928,9983.21878,0.236111
418,,0,152,89,241,152,89,241,7,0.29222,0.309516,2844813.003167,0.042517
87,,8,229,169,398,229,169,398,7,0.342303,0.367116,9873160.226734,0.049994
323,,0,156,88,244,156,88,244,7,0.300126,0.31875,3264186.680153,0.037204
21393,,11,1,1,2,1,1,2,8,0.251375,0.261439,0,0
158,,8,442,9,451,442,9,451,8,0.264622,0.276451,997795.588868,0.031506
2382,,11,34,32,66,34,32,66,8,0.288115,0.303099,401800.350786,0.048485
21922,,11,3,0,3,3,0,3,0,0,0,0,1
19096,,11,3,5,8,3,5,8,8,0.25219,0.262439,6282.590033,0.366667
14919,,11,1,3,4,1,3,4,8,0.255906,0.266966,377.741408,0.5
22587,,11,1,0,1,1,0,1,0,0,0,0,0
22707,,11,1,2,3,1,2,3,8,0.251479,0.261622,5612.79128,0
2599,,5,11,18,29,11,18,29,8,0.272651,0.285501,102979.037593,0.136667
17013,,7,70,41,111,70,41,111,8,0.299044,0.316218,658979.802841,0.110603
821,,11,12,15,27,12,15,27,8,0.270995,0.283953,345138.702968,0.054348
21265,,11,24,8,32,24,8,32,8,0.261818,0.273829,162470.457944,0.076355
2418,,5,16,6,22,16,6,22,8,0.229513,0.236709,162842.364796,0.022876
4146,,16,11,0,11,11,0,11,0,0,0,0,0.154545
23328,,11,1,0,1,1,0,1,0,0,0,0,0
23381,,11,1,0,1,1,0,1,0,0,0,0,0
16892,,11,8,9,17,8,9,17,8,0.25219,0.262538,32641.347288,0.164835
23686,,11,1,1,2,1,1,2,8,0.251375,0.261439,0,0
16678,,11,10,9,19,10,9,19,8,0.252522,0.262926,26103.194054,0.261905
24213,,11,1,2,3,1,2,3,8,0.252143,0.262299,0,1
19809,,11,7,6,13,7,6,13,8,0.252248,0.262512,27763.356177,0.255556
22696,,11,4,5,9,4,5,9,8,0.25216,0.262396,1517.478489,0.285714
1649,,7,59,9,68,59,9,68,8,0.272083,0.285023,193049.8063,0.146875
17953,,11,5,4,9,5,4,9,8,0.252167,0.262392,14565.550599,0.392857
23080,,11,4,4,8,4,4,8,8,0.25216,0.262374,16465.65651,0.214286
14654,,11,73,40,113,73,40,113,8,0.292693,0.308871,671688.692736,0.084502
24836,,11,3,3,6,3,3,6,8,0.25215,0.262334,24858.091214,0.3
20029,,11,8,9,17,8,9,17,8,0.2522,0.262573,99553.928031,0.126374
20296,,11,5,5,10,5,5,10,8,0.251496,0.261692,11193.131067,0.339286
25689,,11,3,2,5,3,2,5,8,0.241604,0.249908,24022.314969,0.15
20215,,11,1,3,4,1,3,4,8,0.252146,0.262325,0,0.666667
225,,7,592,507,1099,592,507,1099,7,0.373962,0.407184,36925284.259688,0.018248
22203,,11,2,5,7,2,5,7,8,0.252167,0.262409,19.302702,0.65
25785,,11,1,1,2,1,1,2,8,0.251375,0.261439,0,0
25927,,11,7,8,15,7,8,15,8,0.251439,0.261718,56968.165382,0.303571
16641,,11,2,1,3,2,1,3,8,0.251375,0.261439,0,1
26144,,11,1,2,3,1,2,3,8,0.252143,0.262299,0,1
26107,,11,4,4,8,4,4,8,8,0.252156,0.262369,51981.878177,0.3
7155,,16,1,1,2,1,1,2,8,0.221261,0.228204,0,0.5
26330,,11,1,2,3,1,2,3,9,0.221691,0.228495,0,0.833333
25168,,11,1,4,5,1,4,5,8,0.25243,0.262656,12986.5,0.416667
1528,,0,127,7,134,127,7,134,8,0.232279,0.239808,408387.109102,0.061715
4346,,10,7,31,38,7,31,38,8,0.281599,0.296413,212404.329608,0.064171
1067,,11,134,70,204,134,70,204,7,0.31489,0.334015,2982621.775627,0.04478
20968,,11,5,2,7,5,2,7,9,0.219415,0.225675,20343.305603,0.309524
4360,,10,15,21,36,15,21,36,8,0.275419,0.289084,91131.990713,0.141129
19619,,11,4,3,7,4,3,7,8,0.25215,0.262334,13161.372875,0.35
16327,,11,4,3,7,4,3,7,8,0.255514,0.266465,224.359081,0.466667
27325,,11,1,0,1,1,0,1,0,0,0,0,0
751,,15,116,110,226,116,110,226,7,0.309333,0.328708,2919280.493464,0.037803
6449,,11,28,24,52,28,24,52,8,0.288534,0.303782,268401.157376,0.099734
1173,,11,46,27,73,46,27,73,8,0.290448,0.30541,390392.700576,0.106832
15337,,11,12,9,21,12,9,21,8,0.280499,0.293176,132911.510709,0.115789
28334,,11,1,0,1,1,0,1,0,0,0,0,0
26598,,11,3,3,6,3,3,6,8,0.25215,0.262334,3560.48508,0.55
25899,,11,2,3,5,2,3,5,8,0.25216,0.262356,8735.052751,0.666667
11288,,11,198,135,333,198,135,333,7,0.312579,0.335508,4395106.961506,0.039582
27858,,11,3,3,6,3,3,6,8,0.252153,0.262343,25974,0.666667
23550,,11,3,3,6,3,3,6,8,0.252153,0.262338,43.831324,0.5
6609,,11,11,9,20,11,9,20,8,0.278433,0.291467,146727.30749,0.099415
24984,,11,6,7,13,6,7,13,8,0.257876,0.268606,13236.648631,0.204545
26968,,11,4,4,8,4,4,8,8,0.251483,0.261644,33899.979435,0.357143
30071,,11,7,0,7,7,0,7,0,0,0,0,0.309524
30082,,11,2,0,2,2,0,2,0,0,0,0,1
395,,7,282,16,298,282,16,298,7,0.30416,0.320303,2089939.583591,0.052444
14165,,11,31,17,48,31,17,48,8,0.2806,0.294184,288729.576644,0.141536
30420,,11,2,0,2,2,0,2,0,0,0,0,1
3142,,5,40,92,132,40,92,132,7,0.308886,0.329732,704465.649905,0.093762
30604,,11,1,0,1,1,0,1,0,0,0,0,0
145,,8,166,328,494,166,328,494,7,0.356844,0.385308,7663225.730216,0.045497
7,,0,178,88,266,178,88,266,7,0.299896,0.318872,4520059.983963,0.022354
16183,,11,1,1,2,1,1,2,8,0.251375,0.261439,0,0
21004,,11,6,5,11,6,5,11,8,0.252386,0.26267,54966.662465,0.25
11296,,11,33,13,46,33,13,46,8,0.259805,0.271852,273695.198072,0.074332
120,,8,121,41,162,121,41,162,8,0.29506,0.311871,753186.144676,0.085979
30894,,11,2,2,4,2,2,4,8,0.251456,0.261542,1.4584,0.666667
26629,,11,1,6,7,1,6,7,8,0.25217,0.262436,22877.734332,0.333333
27241,,11,1,2,3,1,2,3,8,0.252143,0.262299,0,1
26027,,11,1,2,3,1,2,3,8,0.253395,0.263931,0,1
32862,,11,1,0,1,1,0,1,0,0,0,0,0
26867,,11,15,13,28,15,13,28,8,0.251937,0.262893,166847.628879,0.112648
16470,,11,3,4,7,3,4,7,8,0.251426,0.261589,4959.055742,0.5
25647,,11,1,2,3,1,2,3,8,0.251389,0.261488,14484.922772,0.5
2549,,11,36,37,73,36,37,73,8,0.276938,0.292712,482280.226346,0.070673
25804,,11,1,1,2,1,1,2,8,0.251375,0.261439,0,0
13244,,11,7,9,16,7,9,16,8,0.266518,0.279232,37504.304661,0.269231
27257,,11,3,1,4,3,1,4,8,0.251375,0.261439,0,0.666667
24833,,11,24,6,30,24,6,30,8,0.252617,0.262913,60100.635148,0.093846
33887,,11,2,0,2,2,0,2,0,0,0,0,1
33401,,11,3,2,5,3,2,5,8,0.251379,0.261466,463.841258,0.25
32833,,11,3,1,4,3,1,4,8,0.251375,0.261439,0,1
21269,,16,3,1,4,3,1,4,9,0.21976,0.22636,1394.853528,0.333333
7259,,11,55,30,85,55,30,85,7,0.29345,0.309064,472372.101001,0.124685
34511,,11,1,0,1,1,0,1,0,0,0,0,0
408,,11,88,55,143,88,55,143,7,0.293702,0.312025,1490091.11043,0.05668
25742,,11,2,3,5,2,3,5,8,0.251392,0.261519,25978.436045,0.5
20573,,11,2,4,6,2,4,6,8,0.25476,0.265275,2907.992908,0.2
34871,,11,2,0,2,2,0,2,0,0,0,0,1
752,,11,23,0,23,23,0,23,0,0,0,0,0.106719
34917,,11,111,75,186,111,75,186,7,0.301221,0.319055,2285759.94524,0.018486
26400,,11,2,2,4,2,2,4,8,0.251382,0.261475,12986.5,0.5
15670,,11,7,7,14,7,7,14,8,0.256979,0.268388,2888.92778,0.340909
18386,,11,1,0,1,1,0,1,0,0,0,0,0
19052,,11,1,0,1,1,0,1,0,0,0,0,0
2,,16,2,19,21,2,19,21,8,0.28117,0.294744,10395.821989,0.147619
475,,8,34,44,78,34,44,78,8,0.287437,0.303091,306289.240246,0.064588
23,,8,276,116,392,276,116,392,7,0.328116,0.349785,3338250.252091,0.051182
36,,7,953,4,957,953,4,957,8,0.25009,0.258688,2615131.036263,0.014685
7180,,9,595,29,624,595,29,624,8,0.227772,0.236403,6032646.891384,0.002161
2910,,10,27,2,29,27,2,29,8,0.25851,0.269748,31331.841171,0.167488
10607,,16,3,0,3,3,0,3,0,0,0,0,0.166667
380,,5,162,62,224,162,62,224,8,0.297226,0.314779,1760036.478326,0.052907
770,,8,41,20,61,41,20,61,7,0.301815,0.317756,330414.003333,0.073064
1516,,7,14,2,16,14,2,16,10,0.173055,0.176243,1055.802701,0.029167
11951,,16,3,0,3,3,0,3,0,0,0,0,0
288,,8,148,16,164,148,16,164,8,0.296739,0.312603,554296.138448,0.073248
485,,5,77,143,220,77,143,220,7,0.324368,0.345949,2098934.994496,0.046563
1275,,16,140,62,202,140,62,202,8,0.294308,0.312722,2031498.162592,0.052556
596,,5,44,36,80,44,36,80,8,0.287833,0.303834,504157.090516,0.125961
9110,,16,2,0,2,2,0,2,0,0,0,0,0
201,,0,4,1,5,4,1,5,9,0.21495,0.221357,332.09936,0.2
219,,0,5,4,9,5,4,9,8,0.230988,0.239351,1527.896521,0.178571
220,,0,2,1,3,2,1,3,8,0.228929,0.236634,18826,0
221,,0,1,3,4,1,3,4,8,0.230175,0.238335,102.105408,0.333333
268,,0,2,9,11,2,9,11,8,0.246079,0.256001,31607.48259,0.233333
652,,0,1,0,1,1,0,1,0,0,0,0,0
851,,0,76,36,112,76,36,112,8,0.267445,0.280909,1210445.560805,0.024325
2500,,0,10,13,23,10,13,23,8,0.237927,0.247436,285945.206759,0.038012
2596,,0,9,1,10,9,1,10,9,0.22397,0.230989,1124.573753,0.277778
1104,,0,7,4,11,7,4,11,8,0.233183,0.241355,19259.965858,0.277778
2060,,0,6,16,22,6,16,22,8,0.274916,0.287501,75617.254491,0.131579
715,,5,8,10,18,8,10,18,8,0.258149,0.269765,38162.252249,0.136029
5140,,11,7,0,7,7,0,7,0,0,0,0,0.261905
387,,0,27,4,31,27,4,31,8,0.23115,0.239421,40001.611614,0.116809
5783,,5,10,6,16,10,6,16,8,0.244786,0.254009,6406.526338,0.095238
6146,,0,1,0,1,1,0,1,0,0,0,0,0
6394,,0,3,7,10,3,7,10,8,0.24197,0.250238,4071.35041,0.444444
6925,,0,1,1,2,1,1,2,9,0.21495,0.221357,102.105408,0
6926,,0,1,1,2,1,1,2,9,0.21495,0.221357,102.105408,0
2539,,11,3,1,4,3,1,4,8,0.228929,0.236634,0,0.833333
6927,,0,2,1,3,2,1,3,8,0.228929,0.236634,1141.457295,0
